wang@wang-virtual-machine:~/My_ysyx-workbench/sCPU$ make run
RUN SIMULATION:
./obj_dir/Vtop
===== CPU Start Running =====
PC=0110 | h1=6 | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=A | h2=0 | r0=00001010 | r1=00000100 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001010 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=A | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=F | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=F | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=F | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=F | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=F | h2=0 | r0=00001010 | r1=00000101 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=F | h2=0 | r0=00001010 | r1=00000110 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=F | h2=0 | r0=00001010 | r1=00000110 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=F | h2=0 | r0=00001010 | r1=00000110 | r2=00001111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=F | h2=0 | r0=00001010 | r1=00000110 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=5 | h2=1 | r0=00001010 | r1=00000110 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=5 | h2=1 | r0=00001010 | r1=00000110 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=5 | h2=1 | r0=00001010 | r1=00000110 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=5 | h2=1 | r0=00001010 | r1=00000110 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=5 | h2=1 | r0=00001010 | r1=00000110 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=5 | h2=1 | r0=00001010 | r1=00000111 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=5 | h2=1 | r0=00001010 | r1=00000111 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=5 | h2=1 | r0=00001010 | r1=00000111 | r2=00010101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=5 | h2=1 | r0=00001010 | r1=00000111 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=C | h2=1 | r0=00001010 | r1=00000111 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=C | h2=1 | r0=00001010 | r1=00000111 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=C | h2=1 | r0=00001010 | r1=00000111 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=C | h2=1 | r0=00001010 | r1=00000111 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=C | h2=1 | r0=00001010 | r1=00000111 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=C | h2=1 | r0=00001010 | r1=00001000 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=C | h2=1 | r0=00001010 | r1=00001000 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=C | h2=1 | r0=00001010 | r1=00001000 | r2=00011100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=C | h2=1 | r0=00001010 | r1=00001000 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=4 | h2=2 | r0=00001010 | r1=00001000 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=4 | h2=2 | r0=00001010 | r1=00001000 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=4 | h2=2 | r0=00001010 | r1=00001000 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=4 | h2=2 | r0=00001010 | r1=00001000 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=4 | h2=2 | r0=00001010 | r1=00001000 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=4 | h2=2 | r0=00001010 | r1=00001001 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=4 | h2=2 | r0=00001010 | r1=00001001 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=4 | h2=2 | r0=00001010 | r1=00001001 | r2=00100100 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=4 | h2=2 | r0=00001010 | r1=00001001 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=D | h2=2 | r0=00001010 | r1=00001001 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=D | h2=2 | r0=00001010 | r1=00001001 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=D | h2=2 | r0=00001010 | r1=00001001 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=D | h2=2 | r0=00001010 | r1=00001001 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0100 | h1=D | h2=2 | r0=00001010 | r1=00001001 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=D | h2=2 | r0=00001010 | r1=00001010 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=D | h2=2 | r0=00001010 | r1=00001010 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0101 | h1=D | h2=2 | r0=00001010 | r1=00001010 | r2=00101101 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0110 | h1=D | h2=2 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=0111 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
PC=1000 | h1=7 | h2=3 | r0=00001010 | r1=00001010 | r2=00110111 | r3=00000001 | rom0=10001010 | rom1=10010000 | rom2=10100000 | rom3=10110001
